FID,OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
0,1,9420.000000000000000,87TH STREET,DREXEL,EB,NT,87, ,CHICAGO,1,87th Street & Drexel,-87.602498530000005,41.736610300000002
1,2,9421.000000000000000,87TH STREET,DAUPHIN/INGLESIDE,EB,NS,87, ,CHICAGO,1,87th Street & Dauphin/Ingleside,-87.601321999999996,41.736645000000003
2,3,3369.000000000000000,65TH STREET,LONG,EB,NT,165, ,BEDFORD PARK,1,65th Street & Long,-87.756650199999996,41.774417970000002
3,4,3743.000000000000000,LAWRENCE,LAWNDALE,EB,NS,81,N81,CHICAGO,1,Lawrence & Lawndale,-87.720802340000006,41.968217660000001
4,5,13014.000000000000000,61ST STREET,ELLIS,EB,NS,59, ,CHICAGO,1,61st Street & Ellis,-87.601264560000004,41.784046680000003
5,6,332.000000000000000,ROOSEVELT,900 WEST,WB,MB,12, ,CHICAGO,1,900 W Roosevelt,-87.649431440000001,41.867219210000002
6,7,11374.000000000000000,MONTROSE,WINCHESTER,WB,NS,78, ,CHICAGO,1,Montrose & Winchester,-87.677373729999999,41.961531080000000
7,8,7115.000000000000000,STONY ISLAND,ANTHONY,NB,NS,28, ,CHICAGO,1,Stony Island & Anthony,-87.585401570000002,41.748683520000000
8,9,6995.000000000000000,COMMERCIAL,102ND STREET,NB,NS,71, ,CHICAGO,1,Commercial & 102nd Street,-87.552184600000004,41.709961100000001
9,10,10818.000000000000000,YATES,EXCHANGE/71ST ST. (s.leg),NB,NS,71, ,CHICAGO,1,Yates & Exchange,-87.566420390000005,41.765663029999999
10,11,9628.000000000000000,AUSTIN,FULTON/PLEASANT,NB,FS,91, ,CHICAGO,1,Austin & Fulton/Pleasant,-87.774752890000002,41.885678020000000
11,12,4163.000000000000000,ASHLAND,ORANGE LINE STATION,WB,TERM,31, ,CHICAGO,1,Ashland Orange Line Station,-87.665255400000007,41.839103219999998
12,13,10823.000000000000000,71ST STREET,MERRILL,WB,NS,71, ,CHICAGO,1,71st Street & Merrill,-87.572451999999998,41.766323000000000
